rikisfang,ar,n
Rúmenía,2010,120
Slóvenía,2010,19
Slóvakía,2010,207
Andorra,2010,0
Albanía,2010,8
Bosnia og Herzegovina,2010,46
Hvíta-Rússland,2010,22
Sviss,2010,57
Serbía og Svartfjallaland,2010,0
Króatía,2010,25
Liechtenstein,2010,0
Moldóva,2010,5
Montenegró (Svartfjallaland),2010,1
Norður Makedónía,2010,14
Serbía,2010,85
Rússland,2010,124
San Marínó,2010,0
Fyrrum Sovétríki,2010,0
Úkraína,2010,113
Kósovó,2010,29
Evrópa ótilgreint,2010,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2010,74
Júgóslavía (Serbía og Svartfjallaland),2010,0
Kanada,2010,88
Bandaríkin,2010,392
Antigua og Barbuda,2010,0
Argentína,2010,9
Barbados,2010,2
Bólivía,2010,2
Brasilía,2010,64
Bahamaeyjar,2010,1
Belize,2010,1
Chile,2010,21
Colombia,2010,36
Costa Rica,2010,3
Kúba,2010,17
Dóminíka,2010,0
Dóminíska lýðveldið,2010,4
Ekvador,2010,9
Grenada,2010,0
Guatemala,2010,3
Guyana,2010,2
Hondúras,2010,9
Haítí,2010,4
Jamaíka,2010,2
Sankti Kitts og Nevis,2010,0
Mexíkó,2010,27
Nicaragua,2010,0
Panama,2010,2
Perú,2010,25
Puerto Rico,2010,0
Paraguay,2010,3
Súrinam,2010,0
El Salvador,2010,4
Trínidad og Tóbagó,2010,1
Uruguay,2010,4
Sankti Vinsent og Grenadínur,2010,0
Venesúela,2010,11
Angóla,2010,4
Búrkína Fasó,2010,1
Benín,2010,0
Botswana,2010,0
"Kongó, Lýðstjórnarlýðveldið",2010,1
"Kongó, Lýðveldið",2010,1
Côte d'Ivoire (Fílabeinsströndin),2010,1
Kamerún,2010,4
Cabo Verde (Grænhöfðaeyjar),2010,12
Djibútí,2010,1
Alsír,2010,3
Egyptaland,2010,9
Vestur-Sahara,2010,0
Eritrea,2010,3
Eþíópía,2010,26
Gabon,2010,0
Ghana,2010,18
Gambía,2010,4
Gínea,2010,5
Miðbaugs-Gínea,2010,1
Gínea-Bissaú,2010,0
Kenya,2010,19
Sankti Lúsía,2010,0
Líbería,2010,0
Lesótó,2010,0
Líbía,2010,2
Marokkó,2010,63
Madagaskar,2010,1
Malí,2010,1
Máritanía,2010,0
Máritíus,2010,3
Malaví,2010,0
Mósambík,2010,2
Namibía,2010,11
Níger,2010,0
Nígería,2010,25
Rwanda,2010,1
Seychelles-eyjar,2010,0
Súdan,2010,0
Síerra Leóne,2010,4
Senegal,2010,5
Sómalía,2010,0
Suður-Súdan,2010,0
Chad,2010,0
Tógó,2010,0
Túnis,2010,6
Tansanía,2010,7
Úganda,2010,8
Suður-Afríka,2010,18
Zambia,2010,3
Saír,2010,0
Zimbabwe,2010,0
Afganistan,2010,1
Armenía,2010,0
Azerbaijan,2010,2
Bangladesh,2010,0
Kína,2010,167
Georgía,2010,3
Indónesía,2010,26
Ísrael,2010,7
Indland,2010,71
Írak,2010,4
Íran,2010,11
Jórdanía,2010,2
Japan,2010,51
Kyrgyzstan,2010,1
Kambódía,2010,2
"Kórea, Norður-",2010,2
"Kórea, Suður-",2010,9
Kasakstan,2010,5
Laos,2010,0
Líbanon,2010,3
Srí Lanka,2010,47
Myanmar,2010,0
Mongólía,2010,15
Maldívur,2010,0
Malasía,2010,16
Nepal,2010,47
Óman,2010,0
Filippseyjar,2010,462
Pakistan,2010,7
Palestína,2010,0
Sádi-Arabía,2010,0
Singapore,2010,3
Sýrland,2010,4
Thailand,2010,418
Tadsíkistan,2010,0
Tímor-Leste,2010,0
Túrkmenistan,2010,0
Tyrkland,2010,23
Taiwan,2010,4
Úsbekistan,2010,2
Víetnam,2010,152
Jemen,2010,1
Ástralía,2010,32
Fiji,2010,2
Naúrú,2010,0
Nýja-Sjáland,2010,19
Papúa Nýja-Gínea,2010,0
Salómonseyjar,2010,0
Tonga,2010,0
Vanúatú,2010,0
"Útlönd, ótilgreint land",2010,0
Ríkisfangslaus,2010,75
Ísland,2011,153554
Danmörk,2011,530
Finnland,2011,80
Noregur,2011,154
Svíþjóð,2011,244
Austurríki,2011,52
Belgía,2011,23
Búlgaría,2011,50
Kýpur,2011,1
Tékkland,2011,90
Þýskaland,2011,623
Eistland,2011,61
Spánn,2011,152
Frakkland,2011,193
Bretland,2011,403
Grikkland,2011,10
Ungverjaland,2011,89
Írland,2011,44
Ítalía,2011,118
Litháen (Lietuva),2011,1100
Lúxemborg,2011,1
Lettland,2011,457
Malta,2011,1
Holland (Niðurland),2011,118
Pólland,2011,6433
Portúgal,2011,328
Rúmenía,2011,106
Slóvenía,2011,10
Slóvakía,2011,102
Andorra,2011,0
Albanía,2011,9
Bosnia og Herzegovina,2011,40
Hvíta-Rússland,2011,20
Sviss,2011,33
Serbía og Svartfjallaland,2011,0
Króatía,2011,22
Liechtenstein,2011,0
Moldóva,2011,5
Montenegró (Svartfjallaland),2011,1
Norður Makedónía,2011,14
Serbía,2011,66
Rússland,2011,115
San Marínó,2011,0
Fyrrum Sovétríki,2011,0
Úkraína,2011,102
Kósovó,2011,52
Evrópa ótilgreint,2011,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2011,60
Júgóslavía (Serbía og Svartfjallaland),2011,0
Kanada,2011,75
Bandaríkin,2011,331
Antigua og Barbuda,2011,0
Argentína,2011,9
Barbados,2011,2
Bólivía,2011,1
Brasilía,2011,53
Bahamaeyjar,2011,1
Belize,2011,0
Chile,2011,17
Colombia,2011,38
Costa Rica,2011,3
Kúba,2011,18
Dóminíka,2011,0
Dóminíska lýðveldið,2011,5
Ekvador,2011,6
Grenada,2011,0
Guatemala,2011,2
Guyana,2011,1
Hondúras,2011,8
Haítí,2011,5
Jamaíka,2011,2
Sankti Kitts og Nevis,2011,0
Mexíkó,2011,24
Nicaragua,2011,0
Panama,2011,2
Perú,2011,27
Puerto Rico,2011,0
Paraguay,2011,4
Súrinam,2011,0
El Salvador,2011,4
Trínidad og Tóbagó,2011,1
Uruguay,2011,4
Sankti Vinsent og Grenadínur,2011,0
Venesúela,2011,11
Angóla,2011,3
Búrkína Fasó,2011,1
Benín,2011,1
Botswana,2011,0
"Kongó, Lýðstjórnarlýðveldið",2011,1
"Kongó, Lýðveldið",2011,0
Côte d'Ivoire (Fílabeinsströndin),2011,1
Kamerún,2011,6
Cabo Verde (Grænhöfðaeyjar),2011,10
Djibútí,2011,1
Alsír,2011,5
Egyptaland,2011,6
Vestur-Sahara,2011,0
Eritrea,2011,3
Eþíópía,2011,22
Gabon,2011,0
Ghana,2011,15
Gambía,2011,2
Gínea,2011,6
Miðbaugs-Gínea,2011,2
Gínea-Bissaú,2011,0
Kenya,2011,24
Sankti Lúsía,2011,0
Líbería,2011,1
Lesótó,2011,0
Líbía,2011,2
Marokkó,2011,55
Madagaskar,2011,0
Malí,2011,1
Máritanía,2011,0
Máritíus,2011,2
Malaví,2011,0
Mósambík,2011,3
Namibía,2011,10
Níger,2011,0
Nígería,2011,24
Rwanda,2011,2
Seychelles-eyjar,2011,0
Súdan,2011,0
Síerra Leóne,2011,4
Senegal,2011,7
Sómalía,2011,0
Suður-Súdan,2011,0
Chad,2011,0
Tógó,2011,0
Túnis,2011,6
Tansanía,2011,8
Úganda,2011,11
Suður-Afríka,2011,11
Zambia,2011,2
Saír,2011,0
Zimbabwe,2011,0
Afganistan,2011,4
Armenía,2011,0
Azerbaijan,2011,2
Bangladesh,2011,2
Kína,2011,185
Georgía,2011,0
Indónesía,2011,24
Ísrael,2011,9
Indland,2011,60
Írak,2011,5
Íran,2011,13
Jórdanía,2011,3
Japan,2011,48
Kyrgyzstan,2011,0
Kambódía,2011,0
"Kórea, Norður-",2011,0
"Kórea, Suður-",2011,5
Kasakstan,2011,4
Laos,2011,0
Líbanon,2011,2
Srí Lanka,2011,43
Myanmar,2011,0
Mongólía,2011,12
Maldívur,2011,0
Malasía,2011,19
Nepal,2011,42
Óman,2011,2
Filippseyjar,2011,437
Pakistan,2011,8
Palestína,2011,2
Sádi-Arabía,2011,0
Singapore,2011,1
Sýrland,2011,3
Thailand,2011,413
Tadsíkistan,2011,0
Tímor-Leste,2011,0
Túrkmenistan,2011,0
Tyrkland,2011,25
Taiwan,2011,5
Úsbekistan,2011,1
Víetnam,2011,154
Jemen,2011,1
Ástralía,2011,25
Fiji,2011,1
Naúrú,2011,0
Nýja-Sjáland,2011,16
Papúa Nýja-Gínea,2011,0
Salómonseyjar,2011,0
Tonga,2011,0
Vanúatú,2011,0
"Útlönd, ótilgreint land",2011,0
Ríkisfangslaus,2011,56
Ísland,2012,153700
Danmörk,2012,527
Finnland,2012,79
Noregur,2012,145
Svíþjóð,2012,230
Austurríki,2012,49
Belgía,2012,18
Búlgaría,2012,51
Kýpur,2012,0
Tékkland,2012,100
Þýskaland,2012,586
Eistland,2012,64
Spánn,2012,131
Frakkland,2012,182
Bretland,2012,434
Grikkland,2012,14
Ungverjaland,2012,87
Írland,2012,52
Ítalía,2012,102
Litháen (Lietuva),2012,1102
Lúxemborg,2012,2
Lettland,2012,478
Malta,2012,1
Holland (Niðurland),2012,111
Pólland,2012,6421
Portúgal,2012,313
Rúmenía,2012,109
Slóvenía,2012,12
Slóvakía,2012,115
Andorra,2012,0
Albanía,2012,10
Bosnia og Herzegovina,2012,38
Hvíta-Rússland,2012,20
Sviss,2012,43
Serbía og Svartfjallaland,2012,0
Króatía,2012,22
Liechtenstein,2012,0
Moldóva,2012,5
Montenegró (Svartfjallaland),2012,2
Norður Makedónía,2012,11
Serbía,2012,64
Rússland,2012,116
San Marínó,2012,0
Fyrrum Sovétríki,2012,0
Úkraína,2012,104
Kósovó,2012,49
Evrópa ótilgreint,2012,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2012,42
Júgóslavía (Serbía og Svartfjallaland),2012,0
Kanada,2012,77
Bandaríkin,2012,306
Antigua og Barbuda,2012,0
Argentína,2012,11
Barbados,2012,1
Bólivía,2012,2
Brasilía,2012,57
Bahamaeyjar,2012,1
Belize,2012,0
Chile,2012,14
Colombia,2012,32
Costa Rica,2012,1
Kúba,2012,13
Dóminíka,2012,0
Dóminíska lýðveldið,2012,7
Ekvador,2012,7
Grenada,2012,0
Guatemala,2012,2
Guyana,2012,1
Hondúras,2012,7
Haítí,2012,4
Jamaíka,2012,2
Sankti Kitts og Nevis,2012,0
Mexíkó,2012,26
Nicaragua,2012,1
Panama,2012,2
Perú,2012,22
Puerto Rico,2012,0
Paraguay,2012,5
Súrinam,2012,0
El Salvador,2012,4
Trínidad og Tóbagó,2012,1
Uruguay,2012,3
Sankti Vinsent og Grenadínur,2012,0
Venesúela,2012,14
Angóla,2012,3
Búrkína Fasó,2012,1
Benín,2012,1
Botswana,2012,0
"Kongó, Lýðstjórnarlýðveldið",2012,1
"Kongó, Lýðveldið",2012,0
Côte d'Ivoire (Fílabeinsströndin),2012,0
Kamerún,2012,4
Cabo Verde (Grænhöfðaeyjar),2012,7
Djibútí,2012,1
Alsír,2012,7
Egyptaland,2012,7
Vestur-Sahara,2012,0
Eritrea,2012,3
Eþíópía,2012,21
Gabon,2012,0
Ghana,2012,13
Gambía,2012,4
Gínea,2012,6
Miðbaugs-Gínea,2012,2
Gínea-Bissaú,2012,0
Kenya,2012,27
Sankti Lúsía,2012,0
Líbería,2012,1
Lesótó,2012,0
Líbía,2012,2
Marokkó,2012,59
Madagaskar,2012,0
Malí,2012,1
Máritanía,2012,0
Máritíus,2012,2
Malaví,2012,0
Mósambík,2012,4
Namibía,2012,8
Níger,2012,0
Nígería,2012,22
Rwanda,2012,2
Seychelles-eyjar,2012,0
Súdan,2012,0
Síerra Leóne,2012,4
Senegal,2012,7
Sómalía,2012,0
Suður-Súdan,2012,0
Chad,2012,0
Tógó,2012,0
Túnis,2012,6
Tansanía,2012,8
Úganda,2012,14
Suður-Afríka,2012,19
Zambia,2012,3
Saír,2012,0
Zimbabwe,2012,0
Afganistan,2012,4
Armenía,2012,0
Azerbaijan,2012,2
Bangladesh,2012,2
Kína,2012,154
Georgía,2012,0
Indónesía,2012,27
Ísrael,2012,6
Indland,2012,66
Írak,2012,2
Íran,2012,20
Jórdanía,2012,1
Japan,2012,55
Kyrgyzstan,2012,0
Kambódía,2012,0
"Kórea, Norður-",2012,0
"Kórea, Suður-",2012,7
Kasakstan,2012,5
Laos,2012,0
Líbanon,2012,2
Srí Lanka,2012,43
Myanmar,2012,0
Mongólía,2012,12
Maldívur,2012,0
Malasía,2012,17
Nepal,2012,40
Óman,2012,0
Filippseyjar,2012,433
Pakistan,2012,8
Palestína,2012,0
Sádi-Arabía,2012,0
Singapore,2012,1
Sýrland,2012,3
Thailand,2012,415
Tadsíkistan,2012,0
Tímor-Leste,2012,0
Túrkmenistan,2012,0
Tyrkland,2012,25
Taiwan,2012,1
Úsbekistan,2012,1
Víetnam,2012,155
Jemen,2012,1
Ástralía,2012,31
Fiji,2012,1
Naúrú,2012,0
Nýja-Sjáland,2012,18
Papúa Nýja-Gínea,2012,0
Salómonseyjar,2012,0
Tonga,2012,0
Vanúatú,2012,0
"Útlönd, ótilgreint land",2012,0
Ríkisfangslaus,2012,67
Ísland,2013,154155
Danmörk,2013,539
Finnland,2013,65
Noregur,2013,136
Svíþjóð,2013,233
Austurríki,2013,52
Belgía,2013,22
Búlgaría,2013,64
Kýpur,2013,0
Tékkland,2013,96
Þýskaland,2013,563
Eistland,2013,61
Spánn,2013,156
Frakkland,2013,171
Bretland,2013,439
Grikkland,2013,15
Ungverjaland,2013,101
Írland,2013,57
Ítalía,2013,115
Litháen (Lietuva),2013,1096
Lúxemborg,2013,2
Lettland,2013,473
Malta,2013,2
Holland (Niðurland),2013,106
Pólland,2013,6728
Portúgal,2013,332
Rúmenía,2013,147
Slóvenía,2013,11
Slóvakía,2013,123
Andorra,2013,0
Albanía,2013,8
Bosnia og Herzegovina,2013,27
Hvíta-Rússland,2013,14
Sviss,2013,47
Serbía og Svartfjallaland,2013,0
Króatía,2013,23
Liechtenstein,2013,0
Moldóva,2013,5
Montenegró (Svartfjallaland),2013,1
Norður Makedónía,2013,11
Serbía,2013,56
Rússland,2013,107
San Marínó,2013,0
Fyrrum Sovétríki,2013,0
Úkraína,2013,107
Kósovó,2013,46
Evrópa ótilgreint,2013,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2013,27
Júgóslavía (Serbía og Svartfjallaland),2013,0
Kanada,2013,78
Bandaríkin,2013,375
Antigua og Barbuda,2013,1
Argentína,2013,11
Barbados,2013,1
Bólivía,2013,2
Brasilía,2013,60
Bahamaeyjar,2013,1
Belize,2013,0
Chile,2013,13
Colombia,2013,31
Costa Rica,2013,1
Kúba,2013,13
Dóminíka,2013,0
Dóminíska lýðveldið,2013,6
Ekvador,2013,7
Grenada,2013,0
Guatemala,2013,3
Guyana,2013,0
Hondúras,2013,8
Haítí,2013,7
Jamaíka,2013,3
Sankti Kitts og Nevis,2013,0
Mexíkó,2013,34
Nicaragua,2013,1
Panama,2013,2
Perú,2013,21
Puerto Rico,2013,0
Paraguay,2013,3
Súrinam,2013,0
El Salvador,2013,3
Trínidad og Tóbagó,2013,1
Uruguay,2013,2
Sankti Vinsent og Grenadínur,2013,2
Venesúela,2013,10
Angóla,2013,2
Búrkína Fasó,2013,1
Benín,2013,1
Botswana,2013,0
"Kongó, Lýðstjórnarlýðveldið",2013,1
"Kongó, Lýðveldið",2013,0
Côte d'Ivoire (Fílabeinsströndin),2013,0
Kamerún,2013,6
Cabo Verde (Grænhöfðaeyjar),2013,7
Djibútí,2013,1
Alsír,2013,11
Egyptaland,2013,9
Vestur-Sahara,2013,0
Eritrea,2013,4
Eþíópía,2013,22
Gabon,2013,0
Ghana,2013,19
Gambía,2013,5
Gínea,2013,8
Miðbaugs-Gínea,2013,2
Gínea-Bissaú,2013,0
Kenya,2013,33
Sankti Lúsía,2013,0
Líbería,2013,2
Lesótó,2013,0
Líbía,2013,2
Marokkó,2013,56
Madagaskar,2013,0
Malí,2013,1
Máritanía,2013,0
Máritíus,2013,2
Malaví,2013,0
Mósambík,2013,5
Namibía,2013,11
Níger,2013,0
Nígería,2013,26
Rwanda,2013,1
Seychelles-eyjar,2013,0
Súdan,2013,0
Síerra Leóne,2013,6
Senegal,2013,8
Sómalía,2013,1
Suður-Súdan,2013,0
Chad,2013,0
Tógó,2013,1
Túnis,2013,9
Tansanía,2013,8
Úganda,2013,14
Suður-Afríka,2013,26
Zambia,2013,4
Saír,2013,0
Zimbabwe,2013,0
Afganistan,2013,7
Armenía,2013,0
Azerbaijan,2013,1
Bangladesh,2013,3
Kína,2013,155
Georgía,2013,0
Indónesía,2013,27
Ísrael,2013,10
Indland,2013,70
Írak,2013,5
Íran,2013,24
Jórdanía,2013,2
Japan,2013,55
Kyrgyzstan,2013,0
Kambódía,2013,0
"Kórea, Norður-",2013,0
"Kórea, Suður-",2013,6
Kasakstan,2013,3
Laos,2013,0
Líbanon,2013,1
Srí Lanka,2013,46
Myanmar,2013,0
Mongólía,2013,12
Maldívur,2013,0
Malasía,2013,18
Nepal,2013,35
Óman,2013,0
Filippseyjar,2013,418
Pakistan,2013,9
Palestína,2013,3
Sádi-Arabía,2013,1
Singapore,2013,2
Sýrland,2013,5
Thailand,2013,406
Tadsíkistan,2013,0
Tímor-Leste,2013,0
Túrkmenistan,2013,0
Tyrkland,2013,26
Taiwan,2013,1
Úsbekistan,2013,3
Víetnam,2013,177
Jemen,2013,0
Ástralía,2013,38
Fiji,2013,1
Naúrú,2013,0
Nýja-Sjáland,2013,16
Papúa Nýja-Gínea,2013,0
Salómonseyjar,2013,0
Tonga,2013,0
Vanúatú,2013,0
"Útlönd, ótilgreint land",2013,0
Ríkisfangslaus,2013,76
Ísland,2014,155108
Danmörk,2014,560
Finnland,2014,74
Noregur,2014,152
Svíþjóð,2014,232
Austurríki,2014,62
Belgía,2014,25
Búlgaría,2014,84
Kýpur,2014,0
Tékkland,2014,124
Þýskaland,2014,631
Eistland,2014,64
Spánn,2014,243
Frakkland,2014,215
Bretland,2014,467
Grikkland,2014,25
Ungverjaland,2014,122
Írland,2014,54
Ítalía,2014,139
Litháen (Lietuva),2014,1146
Lúxemborg,2014,2
Lettland,2014,487
Malta,2014,3
Holland (Niðurland),2014,108
Pólland,2014,7338
Portúgal,2014,382
Rúmenía,2014,181
Slóvenía,2014,18
Slóvakía,2014,151
Andorra,2014,0
Albanía,2014,10
Bosnia og Herzegovina,2014,26
Hvíta-Rússland,2014,11
Sviss,2014,42
Serbía og Svartfjallaland,2014,0
Króatía,2014,25
Liechtenstein,2014,1
Moldóva,2014,4
Montenegró (Svartfjallaland),2014,1
Norður Makedónía,2014,15
Serbía,2014,58
Rússland,2014,106
San Marínó,2014,0
Fyrrum Sovétríki,2014,0
Úkraína,2014,108
Kósovó,2014,46
Evrópa ótilgreint,2014,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2014,15
Júgóslavía (Serbía og Svartfjallaland),2014,0
Kanada,2014,88
Bandaríkin,2014,387
Antigua og Barbuda,2014,0
Argentína,2014,11
Barbados,2014,1
Bólivía,2014,2
Brasilía,2014,55
Bahamaeyjar,2014,1
Belize,2014,0
Chile,2014,11
Colombia,2014,20
Costa Rica,2014,3
Kúba,2014,16
Dóminíka,2014,0
Dóminíska lýðveldið,2014,9
Ekvador,2014,6
Grenada,2014,0
Guatemala,2014,3
Guyana,2014,0
Hondúras,2014,9
Haítí,2014,5
Jamaíka,2014,2
Sankti Kitts og Nevis,2014,0
Mexíkó,2014,28
Nicaragua,2014,1
Panama,2014,1
Perú,2014,18
Puerto Rico,2014,0
Paraguay,2014,2
Súrinam,2014,0
El Salvador,2014,3
Trínidad og Tóbagó,2014,1
Uruguay,2014,3
Sankti Vinsent og Grenadínur,2014,2
Venesúela,2014,8
Angóla,2014,2
Búrkína Fasó,2014,0
Benín,2014,1
Botswana,2014,0
"Kongó, Lýðstjórnarlýðveldið",2014,1
"Kongó, Lýðveldið",2014,0
Côte d'Ivoire (Fílabeinsströndin),2014,0
Kamerún,2014,5
Cabo Verde (Grænhöfðaeyjar),2014,8
Djibútí,2014,1
Alsír,2014,10
Egyptaland,2014,6
Vestur-Sahara,2014,0
Eritrea,2014,5
Eþíópía,2014,23
Gabon,2014,0
Ghana,2014,17
Gambía,2014,7
Gínea,2014,8
Miðbaugs-Gínea,2014,2
Gínea-Bissaú,2014,0
Kenya,2014,33
Sankti Lúsía,2014,0
Líbería,2014,1
Lesótó,2014,0
Líbía,2014,2
Marokkó,2014,54
Madagaskar,2014,0
Malí,2014,1
Máritanía,2014,0
Máritíus,2014,2
Malaví,2014,0
Mósambík,2014,6
Namibía,2014,11
Níger,2014,0
Nígería,2014,27
Rwanda,2014,2
Seychelles-eyjar,2014,0
Súdan,2014,0
Síerra Leóne,2014,6
Senegal,2014,7
Sómalía,2014,1
Suður-Súdan,2014,0
Chad,2014,0
Tógó,2014,1
Túnis,2014,9
Tansanía,2014,8
Úganda,2014,10
Suður-Afríka,2014,17
Zambia,2014,3
Saír,2014,0
Zimbabwe,2014,0
Afganistan,2014,8
Armenía,2014,1
Azerbaijan,2014,2
Bangladesh,2014,5
Kína,2014,158
Georgía,2014,1
Indónesía,2014,25
Ísrael,2014,9
Indland,2014,72
Írak,2014,7
Íran,2014,25
Jórdanía,2014,2
Japan,2014,50
Kyrgyzstan,2014,0
Kambódía,2014,0
"Kórea, Norður-",2014,0
"Kórea, Suður-",2014,7
Kasakstan,2014,3
Laos,2014,0
Líbanon,2014,3
Srí Lanka,2014,42
Myanmar,2014,0
Mongólía,2014,9
Maldívur,2014,0
Malasía,2014,17
Nepal,2014,32
Óman,2014,0
Filippseyjar,2014,401
Pakistan,2014,10
Palestína,2014,5
Sádi-Arabía,2014,1
Singapore,2014,5
Sýrland,2014,9
Thailand,2014,409
Tadsíkistan,2014,0
Tímor-Leste,2014,0
Túrkmenistan,2014,0
Tyrkland,2014,24
Taiwan,2014,2
Úsbekistan,2014,2
Víetnam,2014,167
Jemen,2014,0
Ástralía,2014,35
Fiji,2014,1
Naúrú,2014,0
Nýja-Sjáland,2014,11
Papúa Nýja-Gínea,2014,0
Salómonseyjar,2014,0
Tonga,2014,0
Vanúatú,2014,0
"Útlönd, ótilgreint land",2014,0
Ríkisfangslaus,2014,87
Ísland,2015,155348
Danmörk,2015,558
Finnland,2015,80
Noregur,2015,157
Svíþjóð,2015,246
Austurríki,2015,68
Belgía,2015,33
Búlgaría,2015,125
Kýpur,2015,0
Tékkland,2015,177
Þýskaland,2015,671
Eistland,2015,64
Spánn,2015,344
Frakkland,2015,269
Bretland,2015,496
Grikkland,2015,28
Ungverjaland,2015,148
Írland,2015,51
Ítalía,2015,166
Litháen (Lietuva),2015,1163
Lúxemborg,2015,2
Lettland,2015,517
Malta,2015,5
Holland (Niðurland),2015,124
Pólland,2015,7888
Portúgal,2015,425
Rúmenía,2015,250
Slóvenía,2015,16
Slóvakía,2015,197
Andorra,2015,0
Albanía,2015,13
Bosnia og Herzegovina,2015,23
Hvíta-Rússland,2015,12
Sviss,2015,47
Serbía og Svartfjallaland,2015,0
Króatía,2015,27
Liechtenstein,2015,1
Moldóva,2015,4
Montenegró (Svartfjallaland),2015,1
Norður Makedónía,2015,12
Serbía,2015,54
Rússland,2015,101
San Marínó,2015,0
Fyrrum Sovétríki,2015,0
Úkraína,2015,111
Kósovó,2015,39
Evrópa ótilgreint,2015,0
"Ríki í fyrrum Júgóslavíu, ótilgreint",2015,10
Júgóslavía (Serbía og Svartfjallaland),2015,0
Kanada,2015,85
Bandaríkin,2015,398
Antigua og Barbuda,2015,0
Argentína,2015,12
Barbados,2015,1
Bólivía,2015,2
Brasilía,2015,54
Bahamaeyjar,2015,1
Belize,2015,0
Chile,2015,14
Colombia,2015,22
Costa Rica,2015,3
Kúba,2015,21
Dóminíka,2015,1
Dóminíska lýðveldið,2015,9
Ekvador,2015,7
Grenada,2015,0
Guatemala,2015,2
Guyana,2015,0
Hondúras,2015,9
Haítí,2015,3
Jamaíka,2015,3
Sankti Kitts og Nevis,2015,0
Mexíkó,2015,29
Nicaragua,2015,0
Panama,2015,2
Perú,2015,18
Puerto Rico,2015,0
Paraguay,2015,1
Súrinam,2015,0
El Salvador,2015,3
Trínidad og Tóbagó,2015,1
Uruguay,2015,2
Sankti Vinsent og Grenadínur,2015,2
Venesúela,2015,7
Angóla,2015,2
Búrkína Fasó,2015,0
Benín,2015,1
Botswana,2015,0
"Kongó, Lýðstjórnarlýðveldið",2015,0
"Kongó, Lýðveldið",2015,0
Côte d'Ivoire (Fílabeinsströndin),2015,0
Kamerún,2015,4
Cabo Verde (Grænhöfðaeyjar),2015,7
Djibútí,2015,0
Alsír,2015,14
Egyptaland,2015,8
Vestur-Sahara,2015,0
Eritrea,2015,1
Eþíópía,2015,20
Gabon,2015,0
Ghana,2015,21
Gambía,2015,8
Gínea,2015,7
Miðbaugs-Gínea,2015,2
Gínea-Bissaú,2015,0
Kenya,2015,29
Sankti Lúsía,2015,1
Líbería,2015,1
Lesótó,2015,0
Líbía,2015,2
Marokkó,2015,52
Madagaskar,2015,0
Malí,2015,1
Máritanía,2015,0
Máritíus,2015,2
Malaví,2015,2
Mósambík,2015,6
Namibía,2015,5
Níger,2015,0
Nígería,2015,35
Rwanda,2015,2
Seychelles-eyjar,2015,0
Súdan,2015,0
Síerra Leóne,2015,6
Senegal,2015,9
Sómalía,2015,1
Suður-Súdan,2015,0
Chad,2015,0
Tógó,2015,0
Túnis,2015,11
Tansanía,2015,9
Úganda,2015,13
Suður-Afríka,2015,15
Zambia,2015,3
Saír,2015,0
Zimbabwe,2015,1
Afganistan,2015,10
Armenía,2015,3
Azerbaijan,2015,2
Bangladesh,2015,4
Kína,2015,174
Georgía,2015,2
Indónesía,2015,33
Ísrael,2015,5
Indland,2015,78
Írak,2015,6
Íran,2015,27
Jórdanía,2015,2
Japan,2015,61
Kyrgyzstan,2015,0
Kambódía,2015,0
"Kórea, Norður-",2015,0
"Kórea, Suður-",2015,8
Kasakstan,2015,4
Laos,2015,0
Líbanon,2015,2
Srí Lanka,2015,40
Myanmar,2015,0
Mongólía,2015,9
Maldívur,2015,0
Malasía,2015,18
Nepal,2015,26
Óman,2015,0
Filippseyjar,2015,389
Pakistan,2015,11
Palestína,2015,4
Sádi-Arabía,2015,1
Singapore,2015,3
Sýrland,2015,9
Thailand,2015,409
Tadsíkistan,2015,0
Tímor-Leste,2015,1
Túrkmenistan,2015,0
Tyrkland,2015,23
Taiwan,2015,1
Úsbekistan,2015,2
Víetnam,2015,181
Jemen,2015,0
Ástralía,2015,36
Fiji,2015,1
Naúrú,2015,0
Nýja-Sjáland,2015,13
Papúa Nýja-Gínea,2015,0
Salómonseyjar,2015,0
Tonga,2015,0
Vanúatú,2015,0
"Útlönd, ótilgreint land",2015,0
Ríkisfangslaus,2015,95
Ísland,2016,155406
Danmörk,2016,568
Finnland,2016,89
Noregur,2016,158
Svíþjóð,2016,255
Austurríki,2016,71
Belgía,2016,37
Búlgaría,2016,150
Kýpur,2016,0
Tékkland,2016,220
Þýskaland,2016,687
Eistland,2016,67
Spánn,2016,385
Frakkland,2016,306
Bretland,2016,551
Grikkland,2016,35
Ungverjaland,2016,184
Írland,2016,61
Ítalía,2016,201
Litháen (Lietuva),2016,1276
Lúxemborg,2016,2
Lettland,2016,557
Malta,2016,5
Holland (Niðurland),2016,133
Pólland,2016,8502
Portúgal,2016,474
Rúmenía,2016,340
Slóvenía,2016,18
Slóvakía,2016,205
Andorra,2016,0
Albanía,2016,18
Bosnia og Herzegovina,2016,20
Hvíta-Rússland,2016,14
Sviss,2016,56
Serbía og Svartfjallaland,2016,0
Króatía,2016,38
Liechtenstein,2016,2
Moldóva,2016,3
